time_sec,ECG_I,ECG_I_filtered
0.0,0.06,0.025
0.002,0.04,0.02
0.004,-0.035,0.02
0.006,0.045,0.015
0.008,0.04,0.01
0.01,0.025,0.0
0.012,0.055,-0.005
0.014,0.095,-0.015
0.016,0.0,-0.02
0.018,-0.025,-0.025
0.02,0.015,-0.03
0.022,-0.01,-0.035
0.024,-0.015,-0.035
0.026,-0.005,-0.03
0.028,0.005,-0.03
0.03,0.01,-0.025
0.032,0.03,-0.02
0.034,0.035,-0.015
0.036,0.015,-0.015
0.038,0.02,-0.015
0.04,0.005,-0.015
0.042,-0.045,-0.02
0.044,0.01,-0.02
0.046,0.035,-0.025
0.048,0.05,-0.03
0.05,0.08,-0.03
0.052,-0.005,-0.025
0.054,-0.03,-0.025
0.056,-0.03,-0.02
0.058,0.015,-0.015
0.06,0.015,-0.01
0.062,0.05,-0.01
0.064,0.05,-0.005
0.066,0.07,-0.01
0.068,0.025,-0.01
0.07,0.03,-0.01
0.072,-0.015,-0.015
0.074,0.02,-0.015
0.076,0.05,-0.015
0.078,0.015,-0.015
0.08,0.02,-0.015
0.082,0.04,-0.01
0.084,0.04,-0.01
0.086,0.015,-0.01
0.088,0.025,-0.015
0.09,0.045,-0.02
0.092,0.005,-0.02
0.094,-0.005,-0.025
0.096,-0.035,-0.03
0.098,-0.025,-0.03
0.1,-0.035,-0.03
0.102,0.06,-0.03
0.104,0.025,-0.03
0.106,0.005,-0.03
0.108,0.02,-0.03
0.11,-0.015,-0.03
0.112,0.01,-0.03
0.114,0.015,-0.03
0.116,0.04,-0.03
0.118,0.01,-0.03
0.12,-0.01,-0.03
0.122,0.005,-0.03
0.124,-0.025,-0.03
0.126,-0.005,-0.025
0.128,0.035,-0.02
0.13,0.03,-0.015
0.132,0.05,-0.01
0.134,0.05,0.0
0.136,0.055,0.005
0.138,0.085,0.015
0.14,0.045,0.02
0.142,0.02,0.025
0.144,0.005,0.025
0.146,0.05,0.02
0.148,0.03,0.015
0.15,0.07,0.01
0.152,0.07,0.005
0.154,0.045,0.0
0.156,0.06,0.0
0.158,0.07,0.01
0.16,0.0,0.02
0.162,0.075,0.03
0.164,0.11,0.045
0.166,0.085,0.06
0.168,0.11,0.065
0.17,0.12,0.07
0.172,0.095,0.065
0.174,0.05,0.055
0.176,0.05,0.04
0.178,0.06,0.025
0.18,0.035,0.01
0.182,0.085,0.0
0.184,0.03,-0.01
0.186,0.045,-0.015
0.188,0.0,-0.015
0.19,0.02,-0.02
0.192,0.01,-0.02
0.194,0.025,-0.025
0.196,0.045,-0.03
0.198,-0.02,-0.04
0.2,0.005,-0.05
0.202,-0.035,-0.06
0.204,-0.03,-0.065
0.206,-0.04,-0.07
0.208,-0.045,-0.075
0.21,-0.025,-0.075
0.212,0.01,-0.07
0.214,0.03,-0.06
0.216,0.05,-0.055
0.218,-0.02,-0.045
0.22,-0.075,-0.04
0.222,-0.005,-0.035
0.224,-0.025,-0.04
0.226,-0.015,-0.04
0.228,0.0,-0.05
0.23,-0.055,-0.06
0.232,-0.02,-0.07
0.234,-0.045,-0.08
0.236,0.025,-0.085
0.238,-0.035,-0.085
0.24,-0.035,-0.085
0.242,-0.05,-0.075
0.244,-0.05,-0.07
0.246,-0.03,-0.06
0.248,-0.025,-0.055
0.25,0.065,-0.055
0.252,-0.005,-0.055
0.254,-0.075,-0.06
0.256,-0.025,-0.07
0.258,-0.055,-0.075
0.26,-0.045,-0.08
0.262,-0.07,-0.08
0.264,-0.035,-0.075
0.266,0.025,-0.07
0.268,0.005,-0.06
0.27,-0.035,-0.055
0.272,-0.005,-0.05
0.274,0.005,-0.05
0.276,-0.045,-0.055
0.278,-0.05,-0.06
0.28,-0.03,-0.07
0.282,-0.05,-0.075
0.284,-0.06,-0.08
0.286,-0.035,-0.08
0.288,-0.05,-0.08
0.29,0.0,-0.075
0.292,-0.05,-0.075
0.294,-0.01,-0.07
0.296,0.005,-0.07
0.298,-0.075,-0.07
0.3,-0.015,-0.07
0.302,-0.04,-0.07
0.304,0.02,-0.065
0.306,-0.05,-0.06
0.308,-0.02,-0.045
0.31,-0.04,-0.03
0.312,0.03,-0.01
0.314,0.01,0.01
0.316,0.165,0.035
0.318,0.1,0.065
0.32,0.15,0.1
0.322,0.175,0.145
0.324,0.24,0.2
0.326,0.31,0.265
0.328,0.42,0.335
0.33,0.48,0.41
0.332,0.51,0.475
0.334,0.615,0.525
0.336,0.66,0.55
0.338,0.625,0.545
0.34,0.56,0.5
0.342,0.455,0.42
0.344,0.315,0.31
0.346,0.17,0.185
0.348,0.04,0.055
0.35,-0.08,-0.065
0.352,-0.19,-0.165
0.354,-0.205,-0.23
0.356,-0.215,-0.27
0.358,-0.21,-0.275
0.36,-0.185,-0.255
0.362,-0.155,-0.22
0.364,-0.265,-0.175
0.366,-0.045,-0.135
0.368,-0.05,-0.095
0.37,-0.065,-0.075
0.372,-0.005,-0.06
0.374,-0.015,-0.055
0.376,0.025,-0.055
0.378,-0.035,-0.06
0.38,-0.015,-0.065
0.382,0.005,-0.065
0.384,-0.015,-0.065
0.386,-0.045,-0.06
0.388,-0.035,-0.055
0.39,0.0,-0.05
0.392,-0.02,-0.045
0.394,-0.03,-0.045
0.396,0.015,-0.045
0.398,0.035,-0.045
0.4,-0.015,-0.05
0.402,-0.045,-0.05
0.404,0.015,-0.05
0.406,0.0,-0.05
0.408,-0.005,-0.045
0.41,-0.035,-0.04
0.412,0.025,-0.035
0.414,-0.025,-0.035
0.416,-0.055,-0.03
0.418,0.045,-0.03
0.42,0.065,-0.035
0.422,0.025,-0.035
0.424,-0.01,-0.035
0.426,-0.01,-0.04
0.428,-0.045,-0.04
0.43,0.015,-0.04
0.432,0.02,-0.035
0.434,0.0,-0.03
0.436,0.05,-0.025
0.438,-0.015,-0.02
0.44,0.04,-0.015
0.442,0.055,-0.01
0.444,0.05,-0.005
0.446,0.085,-0.005
0.448,0.0,-0.005
0.45,0.015,-0.01
0.452,0.02,-0.015
0.454,0.02,-0.025
0.456,-0.01,-0.03
0.458,-0.01,-0.035
0.46,0.0,-0.04
0.462,-0.045,-0.04
0.464,0.025,-0.03
0.466,0.025,-0.02
0.468,0.06,-0.01
0.47,0.05,0.005
0.472,0.045,0.015
0.474,0.085,0.025
0.476,0.065,0.025
0.478,0.06,0.025
0.48,0.01,0.02
0.482,0.03,0.015
0.484,0.055,0.01
0.486,0.065,0.005
0.488,0.075,0.005
0.49,0.055,0.01
0.492,0.075,0.02
0.494,0.06,0.035
0.496,0.095,0.05
0.498,0.06,0.06
0.5,0.115,0.07
0.502,0.1,0.075
0.504,0.1,0.08
0.506,0.12,0.085
0.508,0.165,0.085
0.51,0.15,0.085
0.512,0.16,0.09
0.514,0.115,0.09
0.516,0.14,0.095
0.518,0.155,0.105
0.52,0.13,0.11
0.522,0.11,0.115
0.524,0.175,0.125
0.526,0.18,0.13
0.528,0.065,0.135
0.53,0.2,0.145
0.532,0.265,0.155
0.534,0.265,0.165
0.536,0.215,0.175
0.538,0.205,0.185
0.54,0.225,0.19
0.542,0.21,0.195
0.544,0.215,0.2
0.546,0.225,0.2
0.548,0.235,0.2
0.55,0.25,0.2
0.552,0.275,0.205
0.554,0.245,0.21
0.556,0.27,0.22
0.558,0.33,0.23
0.56,0.32,0.235
0.562,0.285,0.24
0.564,0.21,0.24
0.566,0.245,0.235
0.568,0.23,0.225
0.57,0.215,0.205
0.572,0.24,0.185
0.574,0.28,0.17
0.576,0.2,0.15
0.578,0.165,0.14
0.58,0.155,0.135
0.582,0.23,0.135
0.584,0.225,0.135
0.586,0.145,0.14
0.588,0.14,0.14
0.59,0.135,0.14
0.592,0.145,0.13
0.594,0.145,0.115
0.596,0.13,0.095
0.598,0.13,0.075
0.6,0.06,0.055
0.602,0.07,0.04
0.604,0.07,0.025
0.606,0.09,0.015
0.608,-0.005,0.01
0.61,0.05,0.01
0.612,0.09,0.005
0.614,0.06,0.005
0.616,0.105,0.0
0.618,-0.02,-0.005
0.62,-0.025,-0.015
0.622,0.015,-0.02
0.624,0.02,-0.025
0.626,0.05,-0.03
0.628,0.01,-0.025
0.63,0.025,-0.025
0.632,-0.01,-0.02
0.634,0.035,-0.015
0.636,0.05,-0.015
0.638,0.05,-0.015
0.64,-0.025,-0.02
0.642,-0.03,-0.025
0.644,0.025,-0.035
0.646,0.085,-0.04
0.648,-0.03,-0.04
0.65,-0.01,-0.04
0.652,0.045,-0.035
0.654,0.045,-0.03
0.656,0.04,-0.025
0.658,0.02,-0.02
0.66,-0.055,-0.02
0.662,0.01,-0.02
0.664,0.025,-0.025
0.666,0.0,-0.03
0.668,-0.005,-0.035
