time_sec,ECG_I,ECG_I_filtered,,,X2:ECG(raw),,X2:ECG(filt)
0,-0.2703,0.0587,,,-270.3,,58.7
0.0033,-0.2706,0.0587,,,-270.6,,58.7
0.0067,-0.2697,0.0591,,,-269.7,,59.1
0.01,-0.2694,0.0596,,,-269.4,,59.6
0.0133,-0.2658,0.0629,,,-265.8,,62.9
0.0167,-0.2646,0.0639,,,-264.6,,63.9
0.02,-0.2694,0.0592,,,-269.4,,59.2
0.0233,-0.2718,0.0565,,,-271.8,,56.5
0.0267,-0.2688,0.059,,,-268.8,,59
0.03,-0.27,0.0593,,,-270,,59.3
0.0333,-0.2694,0.0565,,,-269.4,,56.5
0.0367,-0.2742,0.0561,,,-274.2,,56.1
0.04,-0.2679,0.0577,,,-267.9,,57.7
0.0433,-0.27,0.0588,,,-270,,58.8
0.0467,-0.2685,0.0587,,,-268.5,,58.7
0.05,-0.2727,0.0547,,,-272.7,,54.7
0.0533,-0.2784,0.0482,,,-278.4,,48.2
0.0567,-0.2823,0.0464,,,-282.3,,46.4
0.06,-0.2763,0.0488,,,-276.3,,48.8
0.0633,-0.2799,0.0483,,,-279.9,,48.3
0.0667,-0.2823,0.045,,,-282.3,,45
0.07,-0.2796,0.0451,,,-279.6,,45.1
0.0733,-0.2811,0.0484,,,-281.1,,48.4
0.0767,-0.2763,0.0478,,,-276.3,,47.8
0.08,-0.285,0.043,,,-285,,43
0.0833,-0.2829,0.0426,,,-282.9,,42.6
0.0867,-0.2796,0.0477,,,-279.6,,47.7
0.09,-0.2742,0.0503,,,-274.2,,50.3
0.0933,-0.2799,0.0483,,,-279.9,,48.3
0.0967,-0.2781,0.0461,,,-278.1,,46.1
0.1,-0.282,0.0448,,,-282,,44.8
0.1033,-0.2814,0.0445,,,-281.4,,44.5
0.1067,-0.2802,0.045,,,-280.2,,45
0.11,-0.2811,0.0449,,,-281.1,,44.9
0.1133,-0.2802,0.0451,,,-280.2,,45.1
0.1167,-0.2805,0.0455,,,-280.5,,45.5
0.12,-0.279,0.0449,,,-279,,44.9
0.1233,-0.2808,0.0468,,,-280.8,,46.8
0.1267,-0.2709,0.0514,,,-270.9,,51.4
0.13,-0.2772,0.0503,,,-277.2,,50.3
0.1333,-0.2784,0.0449,,,-278.4,,44.9
0.1367,-0.2814,0.0442,,,-281.4,,44.2
0.14,-0.2787,0.0457,,,-278.7,,45.7
0.1433,-0.2823,0.0426,,,-282.3,,42.6
0.1467,-0.2838,0.0405,,,-283.8,,40.5
0.15,-0.2808,0.0437,,,-280.8,,43.7
0.1533,-0.2781,0.0468,,,-278.1,,46.8
0.1567,-0.276,0.0471,,,-276,,47.1
0.16,-0.2784,0.0474,,,-278.4,,47.4
0.1633,-0.2733,0.0488,,,-273.3,,48.8
0.1667,-0.2757,0.0503,,,-275.7,,50.3
0.17,-0.2709,0.051,,,-270.9,,51
0.1733,-0.2751,0.0503,,,-275.1,,50.3
0.1767,-0.273,0.0495,,,-273,,49.5
0.18,-0.2742,0.0496,,,-274.2,,49.6
0.1833,-0.276,0.0481,,,-276,,48.1
0.1867,-0.2772,0.0449,,,-277.2,,44.9
0.19,-0.2805,0.0442,,,-280.5,,44.2
0.1933,-0.2763,0.0457,,,-276.3,,45.7
0.1967,-0.2778,0.0458,,,-277.8,,45.8
0.2,-0.2772,0.0458,,,-277.2,,45.8
0.2033,-0.2763,0.046,,,-276.3,,46
0.2067,-0.2805,0.0433,,,-280.5,,43.3
0.21,-0.2796,0.0419,,,-279.6,,41.9
0.2133,-0.2784,0.0452,,,-278.4,,45.2
0.2167,-0.2763,0.0459,,,-276.3,,45.9
0.22,-0.2793,0.0422,,,-279.3,,42.2
0.2233,-0.2835,0.041,,,-283.5,,41
0.2267,-0.2778,0.0415,,,-277.8,,41.5
0.23,-0.2856,0.0395,,,-285.6,,39.5
0.2333,-0.2826,0.0371,,,-282.6,,37.1
0.2367,-0.2874,0.0361,,,-287.4,,36.1
0.24,-0.2835,0.0376,,,-283.5,,37.6
0.2433,-0.2805,0.0419,,,-280.5,,41.9
0.2467,-0.2787,0.0424,,,-278.7,,42.4
0.25,-0.2856,0.0367,,,-285.6,,36.7
0.2533,-0.2883,0.0327,,,-288.3,,32.7
0.2567,-0.2904,0.0318,,,-290.4,,31.8
0.26,-0.2907,0.03,,,-290.7,,30
0.2633,-0.2925,0.0298,,,-292.5,,29.8
0.2667,-0.2886,0.032,,,-288.6,,32
0.27,-0.2889,0.0324,,,-288.9,,32.4
0.2733,-0.2895,0.0326,,,-289.5,,32.6
0.2767,-0.2859,0.0337,,,-285.9,,33.7
0.28,-0.2907,0.0319,,,-290.7,,31.9
0.2833,-0.2901,0.0299,,,-290.1,,29.9
0.2867,-0.2883,0.0328,,,-288.3,,32.8
0.29,-0.2856,0.0356,,,-285.6,,35.6
0.2933,-0.2868,0.0338,,,-286.8,,33.8
0.2967,-0.2889,0.0313,,,-288.9,,31.3
0.3,-0.2904,0.0317,,,-290.4,,31.7
0.3033,-0.2853,0.0334,,,-285.3,,33.4
0.3067,-0.2883,0.0339,,,-288.3,,33.9
0.31,-0.2874,0.0319,,,-287.4,,31.9
0.3133,-0.2907,0.0301,,,-290.7,,30.1
0.3167,-0.2886,0.0317,,,-288.6,,31.7
0.32,-0.2859,0.0343,,,-285.9,,34.3
0.3233,-0.2856,0.0345,,,-285.6,,34.5
0.3267,-0.285,0.0353,,,-285,,35.3
0.33,-0.2823,0.0376,,,-282.3,,37.6
0.3333,-0.2832,0.0367,,,-283.2,,36.7
0.3367,-0.2874,0.0329,,,-287.4,,32.9
0.34,-0.2874,0.0318,,,-287.4,,31.8
0.3433,-0.2859,0.0344,,,-285.9,,34.4
0.3467,-0.282,0.0374,,,-282,,37.4
0.35,-0.2805,0.0389,,,-280.5,,38.9
0.3533,-0.282,0.0381,,,-282,,38.1
0.3567,-0.2832,0.0353,,,-283.2,,35.3
0.36,-0.2853,0.035,,,-285.3,,35
0.3633,-0.2787,0.0398,,,-278.7,,39.8
0.3667,-0.2724,0.0472,,,-272.4,,47.2
0.37,-0.2667,0.0521,,,-266.7,,52.1
0.3733,-0.267,0.0523,,,-267,,52.3
0.3767,-0.2679,0.0502,,,-267.9,,50.2
0.38,-0.2703,0.0497,,,-270.3,,49.7
0.3833,-0.2676,0.0494,,,-267.6,,49.4
0.3867,-0.2739,0.0462,,,-273.9,,46.2
0.39,-0.2754,0.0423,,,-275.4,,42.3
0.3933,-0.2775,0.0402,,,-277.5,,40.2
0.3967,-0.2823,0.0381,,,-282.3,,38.1
0.4,-0.2817,0.0335,,,-281.7,,33.5
0.4033,-0.2934,0.0277,,,-293.4,,27.7
0.4067,-0.2928,0.0234,,,-292.8,,23.4
0.41,-0.2964,0.022,,,-296.4,,22
0.4133,-0.2991,0.0199,,,-299.1,,19.9
0.4167,-0.3027,0.0138,,,-302.7,,13.8
0.42,-0.3093,0.0098,,,-309.3,,9.8
0.4233,-0.3039,0.0138,,,-303.9,,13.8
0.4267,-0.297,0.0206,,,-297,,20.6
0.43,-0.2934,0.0246,,,-293.4,,24.6
0.4333,-0.2898,0.0285,,,-289.8,,28.5
0.4367,-0.2826,0.0338,,,-282.6,,33.8
0.44,-0.2829,0.0363,,,-282.9,,36.3
0.4433,-0.2814,0.035,,,-281.4,,35
0.4467,-0.2853,0.0327,,,-285.3,,32.7
0.45,-0.2862,0.031,,,-286.2,,31
0.4533,-0.2868,0.0312,,,-286.8,,31.2
0.4567,-0.2838,0.032,,,-283.8,,32
0.46,-0.2883,0.0312,,,-288.3,,31.2
0.4633,-0.2832,0.0317,,,-283.2,,31.7
0.4667,-0.2826,0.0357,,,-282.6,,35.7
0.47,-0.2808,0.0365,,,-280.8,,36.5
0.4733,-0.2847,0.0308,,,-284.7,,30.8
0.4767,-0.2922,0.0262,,,-292.2,,26.2
0.48,-0.2895,0.027,,,-289.5,,27
0.4833,-0.2865,0.0291,,,-286.5,,29.1
0.4867,-0.2898,0.0289,,,-289.8,,28.9
0.49,-0.2892,0.0261,,,-289.2,,26.1
0.4933,-0.294,0.0222,,,-294,,22.2
0.4967,-0.2994,0.0195,,,-299.4,,19.5
0.5,-0.2928,0.0206,,,-292.8,,20.6
0.5033,-0.2853,0.0336,,,-285.3,,33.6
0.5067,-0.2415,0.0739,,,-241.5,,73.9
0.51,-0.1752,0.1402,,,-175.2,,140.2
0.5133,-0.1317,0.1855,,,-131.7,,185.5
0.5167,-0.1722,0.1409,,,-172.2,,140.9
0.52,-0.3318,-0.0131,,,-331.8,,-13.1
0.5233,-0.5457,-0.235,,,-545.7,,-235
0.5267,-0.8079,-0.4839,,,-807.9,,-483.9
0.53,-1.0302,-0.7204,,,-1030.2,,-720.4
0.5333,-1.1967,-0.8673,,,-1196.7,,-867.3
0.5367,-1.1808,-0.8684,,,-1180.8,,-868.4
0.54,-1.0689,-0.7345,,,-1068.9,,-734.5
0.5433,-0.8082,-0.4962,,,-808.2,,-496.2
0.5467,-0.5655,-0.2267,,,-565.5,,-226.7
0.55,-0.3795,-0.0669,,,-379.5,,-66.9
0.5533,-0.4038,-0.0697,,,-403.8,,-69.7
0.5567,-0.4458,-0.1237,,,-445.8,,-123.7
0.56,-0.4539,-0.1288,,,-453.9,,-128.8
0.5633,-0.4245,-0.096,,,-424.5,,-96
0.5667,-0.3825,-0.0576,,,-382.5,,-57.6
0.57,-0.3531,-0.0274,,,-353.1,,-27.4
0.5733,-0.3435,-0.0159,,,-343.5,,-15.9
0.5767,-0.3375,-0.0115,,,-337.5,,-11.5
0.58,-0.3246,0.0004,,,-324.6,,0.4
0.5833,-0.3183,0.0101,,,-318.3,,10.1
0.5867,-0.3123,0.0126,,,-312.3,,12.6
0.59,-0.3105,0.0156,,,-310.5,,15.6
0.5933,-0.309,0.0183,,,-309,,18.3
0.5967,-0.3057,0.0199,,,-305.7,,19.9
0.6,-0.3009,0.0244,,,-300.9,,24.4
0.6033,-0.3018,0.0262,,,-301.8,,26.2
0.6067,-0.3018,0.0223,,,-301.8,,22.3
0.61,-0.3051,0.0218,,,-305.1,,21.8
0.6133,-0.3012,0.0247,,,-301.2,,24.7
0.6167,-0.3048,0.021,,,-304.8,,21
0.62,-0.3102,0.015,,,-310.2,,15
0.6233,-0.3108,0.0164,,,-310.8,,16.4
0.6267,-0.3057,0.0188,,,-305.7,,18.8
0.63,-0.3105,0.0155,,,-310.5,,15.5
0.6333,-0.3135,0.013,,,-313.5,,13
0.6367,-0.3117,0.0129,,,-311.7,,12.9
0.64,-0.3147,0.0115,,,-314.7,,11.5
0.6433,-0.3141,0.0119,,,-314.1,,11.9
0.6467,-0.3117,0.0132,,,-311.7,,13.2
0.65,-0.3183,0.0075,,,-318.3,,7.5
0.6533,-0.3276,-0.0013,,,-327.6,,-1.3
0.6567,-0.3282,-0.0038,,,-328.2,,-3.8
0.66,-0.3282,-0.002,,,-328.2,,-2
0.6633,-0.3273,-0.001,,,-327.3,,-1
0.6667,-0.3246,-0.0006,,,-324.6,,-0.6
0.67,-0.3282,-0.001,,,-328.2,,-1
0.6733,-0.3297,-0.0046,,,-329.7,,-4.6
0.6767,-0.3351,-0.0104,,,-335.1,,-10.4
0.68,-0.3402,-0.0127,,,-340.2,,-12.7
0.6833,-0.3345,-0.0105,,,-334.5,,-10.5
0.6867,-0.3393,-0.0126,,,-339.3,,-12.6
0.69,-0.3453,-0.0199,,,-345.3,,-19.9
0.6933,-0.3498,-0.0238,,,-349.8,,-23.8
0.6967,-0.3516,-0.0263,,,-351.6,,-26.3
0.7,-0.3621,-0.0352,,,-362.1,,-35.2
0.7033,-0.3696,-0.0446,,,-369.6,,-44.6
0.7067,-0.3732,-0.0464,,,-373.2,,-46.4
0.71,-0.3717,-0.0458,,,-371.7,,-45.8
0.7133,-0.3765,-0.05,,,-376.5,,-50
0.7167,-0.3828,-0.0566,,,-382.8,,-56.6
0.72,-0.3879,-0.0607,,,-387.9,,-60.7
0.7233,-0.3888,-0.0632,,,-388.8,,-63.2
0.7267,-0.3972,-0.0687,,,-397.2,,-68.7
0.73,-0.3999,-0.0748,,,-399.9,,-74.8
0.7333,-0.4068,-0.078,,,-406.8,,-78
0.7367,-0.4101,-0.0836,,,-410.1,,-83.6
0.74,-0.42,-0.093,,,-420,,-93
0.7433,-0.4278,-0.0982,,,-427.8,,-98.2
0.7467,-0.4239,-0.0986,,,-423.9,,-98.6
0.75,-0.4308,-0.1,,,-430.8,,-100
0.7533,-0.4281,-0.1017,,,-428.1,,-101.7
0.7567,-0.4329,-0.1031,,,-432.9,,-103.1
0.76,-0.4341,-0.1061,,,-434.1,,-106.1
0.7633,-0.4368,-0.1067,,,-436.8,,-106.7
0.7667,-0.4323,-0.1045,,,-432.3,,-104.5
0.77,-0.4368,-0.1054,,,-436.8,,-105.4
0.7733,-0.4341,-0.1064,,,-434.1,,-106.4
0.7767,-0.4332,-0.1014,,,-433.2,,-101.4
0.78,-0.4215,-0.093,,,-421.5,,-93
0.7833,-0.4137,-0.082,,,-413.7,,-82
0.7867,-0.3948,-0.0655,,,-394.8,,-65.5
0.79,-0.3816,-0.0504,,,-381.6,,-50.4
0.7933,-0.3714,-0.0407,,,-371.4,,-40.7
0.7967,-0.3567,-0.0269,,,-356.7,,-26.9
0.8,-0.3402,-0.0078,,,-340.2,,-7.8
0.8033,-0.3252,0.0033,,,-325.2,,3.3
0.8067,-0.327,0.006,,,-327,,6
0.81,-0.3159,0.0128,,,-315.9,,12.8
0.8133,-0.3099,0.0219,,,-309.9,,21.9
0.8167,-0.3039,0.0265,,,-303.9,,26.5
0.82,-0.2982,0.0315,,,-298.2,,31.5
0.8233,-0.2934,0.0381,,,-293.4,,38.1
0.8267,-0.2892,0.0407,,,-289.2,,40.7
0.83,-0.2859,0.0434,,,-285.9,,43.4
0.8333,-0.2832,0.0491,,,-283.2,,49.1
