time_sec,ECG_I,ECG_I_filtered
0,66.415,-35.905
0.002,-16.385,66.415
0.004,-35.905,-16.385
0.006,66.415,-35.905
0.008,-16.385,66.415
0.01,-35.905,-16.385
0.012,66.44,-33.36
0.014,-20.225,66.415
0.016,-37.205,-21.505
0.018,66.4,-38.475
0.02,-17.665,66.4
0.022,-43.59,-16.385
0.024,66.38,-46.135
0.026,-12.545,66.39
0.028,-38.45,-9.985
0.03,66.385,-44.84
0.032,-13.825,66.37
0.034,-44.875,-20.225
0.036,66.405,-33.365
0.038,-17.665,66.405
0.04,-47.44,-20.225
0.042,66.355,-58.97
0.044,-24.065,66.335
0.046,-61.53,-24.065
0.048,66.31,-65.39
0.05,-30.465,66.285
0.052,-69.265,-34.305
0.054,66.285,-66.665
0.056,-24.065,66.305
0.058,-66.665,-30.465
0.06,66.285,-73.095
0.062,-31.745,66.27
0.064,-73.085,-29.185
0.066,66.27,-71.795
0.068,-31.745,66.265
0.07,-76.94,-35.585
0.072,66.275,-69.25
0.074,-31.745,66.285
0.076,-70.54,-36.865
0.078,66.275,-76.95
0.08,-38.145,66.27
0.082,-75.65,-29.185
0.084,66.28,-73.085
0.086,-34.305,66.26
0.088,-79.52,-49.665
0.09,66.24,-84.68
0.092,-52.225,66.2
0.094,-97.505,-65.025
0.096,66.175,-102.7
0.098,-73.985,66.105
0.1,-123.115,-33.025
0.102,66.075,-107.555
0.104,13.135,86.71
0.106,-56.2,51.535
0.108,86.97,31.03
0.11,111.7,87.415
0.112,159.255,148.82
0.114,87.82,-112.165
0.116,54.1,67.325
0.118,134.315,-58.62
0.12,66.73,-41.21
0.122,-54.785,66.195
0.124,-110.26,-47.105
0.126,66.135,-93.6
0.128,-38.145,66.23
0.13,-82.07,-45.825
0.132,66.225,-87.22
0.134,-40.705,66.23
0.136,-82.085,-43.265
0.138,66.245,-78.245
0.14,-47.105,66.24
0.142,-84.665,-47.105
0.144,66.22,-82.09
0.146,-40.705,66.215
0.148,-84.635,-44.545
0.15,66.23,-84.675
0.152,-47.105,66.23
0.154,-82.105,-44.545
0.156,66.23,-83.375
0.158,-49.665,66.215
0.16,-89.79,-45.825
0.162,66.225,-82.085
0.164,-43.265,66.255
0.166,-80.81,-43.265
0.168,66.24,-83.39
0.17,-47.105,66.22
0.172,-84.66,-43.265
0.174,66.22,-87.215
0.176,-48.385,66.205
0.178,-89.8,-49.665
0.18,66.22,-83.385
0.182,-43.265,66.23
0.184,-83.37,-47.105
0.186,66.22,-88.515
0.188,-44.545,66.235
0.19,-82.12,-47.105
0.192,66.23,-83.38
0.194,-47.105,66.225
0.196,-84.685,-48.385
0.198,66.22,-83.38
0.2,-47.105,66.22
0.202,-88.52,-54.785
0.204,66.205,-88.525
0.206,-53.505,66.215
0.208,-83.4,-47.105
0.21,66.24,-84.685
0.212,-50.945,66.23
0.214,-87.25,-52.225
0.216,66.23,-84.665
0.218,-47.105,66.225
0.22,-87.24,-54.785
0.222,66.215,-89.825
0.224,-56.065,66.22
0.226,-85.96,-50.945
0.228,66.225,-83.415
0.23,-57.345,66.21
0.232,-88.555,-62.465
0.234,66.215,-84.72
0.236,-61.185,66.225
0.238,-84.72,-62.465
0.24,66.21,-89.86
0.242,-66.305,66.205
0.244,-87.305,-67.585
0.246,66.215,-84.76
0.248,-72.705,66.21
0.25,-91.175,-75.265
0.252,66.2,-91.18
0.254,-73.985,66.195
0.256,-91.18,-80.385
0.258,66.19,-97.595
0.26,-80.385,66.19
0.262,-91.195,-79.105
0.264,66.205,-91.19
0.266,-82.945,66.185
0.268,-95.05,-82.945
0.27,66.195,-92.475
0.272,-77.825,66.2
0.274,-91.185,-73.985
0.276,66.195,-93.73
0.278,-70.145,66.205
0.28,-83.47,-62.465
0.282,66.235,-82.16
0.284,-63.745,66.225
0.286,-86.01,-59.905
0.288,66.245,-75.74
0.29,-49.665,66.26
0.292,-73.15,-48.385
0.294,66.265,-73.15
0.296,-45.825,66.275
0.298,-69.28,-36.865
0.3,66.305,-62.87
0.302,-40.705,66.31
0.304,-66.72,-39.425
0.306,66.305,-61.585
0.308,-35.585,66.33
0.31,-61.6,-38.145
0.312,66.315,-64.175
0.314,-43.265,66.305
0.316,-60.32,-40.705
0.318,66.31,-64.15
0.32,-39.425,66.315
0.322,-64.16,-43.265
0.324,66.31,-62.875
0.326,-39.425,66.295
0.328,-65.43,-41.985
0.33,66.3,-66.735
0.332,-41.985,66.29
0.334,-66.725,-40.705
0.336,66.3,-69.28
0.338,-45.825,66.28
0.34,-73.135,-47.105
0.342,66.285,-68.005
0.344,-38.145,66.3
0.346,-70.55,-43.265
0.348,66.28,-71.865
0.35,-49.665,66.285
0.352,-69.31,-48.385
0.354,66.295,-68.025
0.356,-48.385,66.275
0.358,-73.17,-49.665
0.36,66.28,-69.31
0.362,-45.825,66.275
0.364,-70.605,-54.785
0.366,66.26,-75.745
0.368,-53.505,66.255
0.37,-74.445,-49.665
0.372,66.26,-78.28
0.374,-49.665,66.25
0.376,-77.01,-54.785
0.378,66.265,-71.885
0.38,-47.105,66.275
0.382,-73.155,-49.665
0.384,66.265,-78.3
0.386,-56.065,66.27
0.388,-74.45,-54.785
0.39,66.26,-77.02
0.392,-56.065,66.25
0.394,-82.145,-53.505
0.396,66.25,-75.72
0.398,-53.505,66.27
0.4,-78.305,-58.625
0.402,66.235,-83.425
0.404,-56.065,66.245
0.406,-75.75,-53.505
0.408,66.255,-78.295
0.41,-54.785,66.24
0.412,-83.43,-54.785
0.414,66.235,-79.58
0.416,-52.225,66.25
0.418,-77.005,-53.505
0.42,66.255,-78.295
0.422,-57.345,66.26
0.424,-77.015,-54.785
0.426,66.27,-75.735
0.428,-57.345,66.26
0.43,-77.025,-57.345
0.432,66.255,-73.165
0.434,-49.665,66.28
0.436,-74.45,-53.505
0.438,66.255,-79.575
0.44,-59.905,66.255
0.442,-74.47,-56.065
0.444,66.27,-70.62
0.446,-58.625,66.29
0.448,-69.345,-58.625
0.45,66.285,-68.055
0.452,-49.665,66.31
0.454,-62.915,-48.385
0.456,66.305,-56.52
0.458,-49.665,66.34
0.46,-51.38,-43.265
0.462,66.36,-51.38
0.464,-44.545,66.345
0.466,-57.795,-49.665
0.468,66.34,-56.49
0.47,-44.545,66.335
0.472,-56.495,-45.825
0.474,66.33,-59.065
